recno,value
1,argillization
1,sericitization
1,silicification
2,silicification
2,pyritization
3,sericitization
3,silicification
4,calcitization
4,hematitization
4,silicification
5,argillization
5,carbonization
5,"silicification (jasperoid)"
5,sulfidation
6,carbonization
6,decalcification
6,oxidation
6,sericitization
6,"silicification (jasperoid)"
7,silicification
7,sulfidization
8,argillization
8,oxidation
8,"skarn formation (?)"
8,silicification
9,oxidation
9,silicification
10,argillization
10,silicification
11,argillization
11,carbonization
11,dolomitization
11,silicification
11,sulfidization
12,calcitization
12,silicification
13,argillization
13,carbonization
13,oxidation
13,silicification
13,sulfidization
14,argillization
14,baritization
14,sericitization
14,silicification
15,silicification
16,argillization
16,silicification
17,carbonatization
17,silicification
18,oxidation
18,silicification
18,sericitization
18,sulfidization
19,"silicification (jasperoid, siliceous breccia)"
20,argillization
20,carbonatization
20,silicification
21,argillization
21,baritization
21,decarbonization
21,silicification
21,sulfidization
22,oxidation
22,silicification
22,sulfidization
23,silicification
24,argillization
24,dolomitization
24,"silicification (jasperoid)"
24,sulfidation
25,argillization
25,silicification
26,silicification
27,sericitization
27,silicification
28,carbonization
28,sericitization
28,silicification
28,sulfidation
29,calcitization
29,sericitization
29,silicification
30,carbonatization
30,sericitization
30,silicification
30,sulfidation
31,"contact metamorphism"
31,sericitization
31,silicification
32,"contact metamorphism (skarn)"
32,calcitization
32,silicification
33,carbonatization
33,"oxidation. silicification"
33,sulfidation
34,argillization
34,decalcification
34,dolomitization
34,oxidation
34,"silicification (jasperoid)"
35,argillization
35,decalcification
35,dolomitization
35,"silicification (jasperoid)"
36,argillization
36,oxidation
36,sericitization
36,"silicification (jasperoid)"
37,argillization
37,oxidation
37,"silicification (jasperoid)"
38,argillization
38,carbonization
38,decalcification
38,silicification
39,argillization
39,decalcification
39,oxidation
39,"silicification (jasperoid)"
40,"contact metamorphism (skarn)"
40,decalcification
40,"silicification (jasperoid)"
41,argillization
41,decalcification
41,oxidation
41,"silicification (minor jasperoid)"
42,argillization
42,decalcification
42,oxidation
42,"minor silicification"
43,argillization
43,baritization
43,decalcification
43,oxidation
43,"silicification (jasperoid)"
44,argillization
44,"contact metamorphism"
44,decarbonatization
44,pyritization
44,silicification
44,
45,carbonization
45,decalcification
45,oxidation
45,"silicification (jasperoid)"
46,argillization
46,"contact metamorphism"
46,decalcification
46,propylitization
46,silicification
47,decarbonatization
47,"silicification (jasperoid)"
47,"superposed argillization"
48,argillization
48,carbonization
48,decalcification
48,"silicification (jasperoid)"
49,carbonization
49,decalcification
49,oxidation
49,"silicification (jasperoid)"
50,argillization
50,decalcification
50,"silicification (jasperoid)"
51,argillization
51,decarbonatization
51,oxidation
51,"silicification (jasperoid)"
52,argillization
52,decalcification
52,oxidation
52,silicification
53,baritization
53,"silicification (jasperoid)"
54,argillization
54,"contact metamorphism"
54,decalcification
54,decarbonization
54,oxidation
54,silicification
55,"contact metamorphism"
55,decarbonatization
55,oxidation
55,silicification
55,sulfidization
56,argillization
