recno,aggrd0,aggrd1,aggrd2,aggrd3,dep10km,auprgrd,augrd0,augrd1,augrd2,augrd3,augrd4,augrd5,augrd6,augrd7,augrd8,bedlens,comments,autonne,country,cntrycode,crushing,depagegeol,deparea,depcluster,deplen,depthick,depwidth,dikesill,discdate,faultzone,geochem,partsize,heapleach,introck,introckage,latitude,latdeg,latmin,latsec,locacc,longitude,londeg,lonmin,lonsec,depname,openpit,oreunit,orethick,orebreccia,owneroper,prodton,prodyear,aurecovery,rsvopyear,rsvtonop,rsvugyear,rsvtonug,rscopyear,rsctonop,rsctonug,rscugyear,srctongrd,startdate,stprov,status,stockplu,subtype,tect_set,tonnage,undergrd,veinstock
1,,,,0,"sediment-hosted Au",,,,0,5.01,,,,,5.01,yes,"Mined out (?) Wall-rocks are mostly sheared. Average gold content in pyrite 257.6 g/t (Mao, 1991). Gold fineness 900‰ (Liu and Geng, 1985).",6.76,China,CINA,,Mesozoic,1,"Dian-Qian-Gui ‘Golden Triangle’",6.4,10,0.2,yes,1978,yes,"Au, As, Sb, Hg",≤1,,"diabase; granite; quartz porphyry",Mesozoic,24.8238888888889,24,49,26,Accurate,105.633055555556,105,37,59,Banqi,yes,"Lower Triassic Ziyun Group",30,yes,,,,,,,,,,1.35,,,"MMAJ (2007)",,Guizhou,,,Chinese,"South China craton, platform at rifted southern margin",1.35,,
2,,,,0,"sediment-hosted Au",,,,0,4.5,,,,,4.5,,"Past gold producer. 6 lenticular orebodies identified in altered zones up to 2 km long.",1.7,China,CINA,,Mesozoic,0.6,"Dian-Qian-Gui ‘Golden Triangle’",2,,0.4,,,yes,"Au, As",≥1,,,,24.985,24,59,6,Approximate,105.725,105,43,30,Ceyang,yes,"Middle Triassic Xinyuan Fm.",0,,,,,,,,,,,0.4,,,"MMAJ (2007)",,Guizhou,inactive,,Chinese,"South China craton, platform at rifted southern margin",0.4,,
3,,,,0,"sediment-hosted Hg",,0,7.04,0,5.3,,,,,5.3,yes,"Explored. Past producer (?)",7,China,CINA,,,,"Dian-Qian-Gui ‘Golden Triangle’",0,,0,,,,"Au, Hg, As, Sb",,,,,26.2238888888889,26,13,26,Approximate,107.798888888889,107,47,56,Danzhai,yes,Cambrian,0,,,,,,,0.28,,,,1.3,,,"Hu and others (2002); MMAJ (2007)",,Guizhou,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",1.3,,
4,,,,0,"low-sulfidation epithermal Au",7.06,,,,,0,9.9,,,9.9,yes,"Oxidation zone to depth >300 m. Mineralization extends several hundred meters down dip partially concentrating in dilatational jogs. Later thermal effects might be suspected by fluid inclusion studies (Peng and others, 2010). Collapse breccia and karst caverns (≤20 m) have developed. Visible gold (10–35 microns) in fractures crossing high-grade ore.",46,China,CINA,yes,Mesozoic,7,"Western Qinling belt",5,20,1.8,yes,1990,yes,"Au, As, Sb, Hg, Mo",≤1,,"granodiorite, monzodiorite (mineralized)",237–190,34.075,34,4,30,Accurate,102.166388888889,102,9,59,Dashui,yes,"Middle Triassic",0,yes,"Red Mountain Mining Ltd. (51%)",0.3,"2002–2005, UG & minor OP",,,,,,,,4.7,~2002,"Red Mountain (2009)",2002,Gansu,"mining operations",yes,Chinese,"Qinling fold belt",4.7,yes,yes
5,,,,0,"sediment-hosted Au",,,,,,,,1,5.54,5.54,yes,"UG mining. 30 layered, tabular and lens-shaped orebodies dip at 16–35º near surface and at 67–87º with depth, mineralization extends to >800 m deep. Ore-hosting clastic sequence contains 1% pyrite and ≤0.7% organic carbon. Near-surface oxidized ore contains visible gold ≥40 micron (Mao and others, 2002). Altered mafic lenses observed along ore-controlling Kuashiya fault-zone with vertical displacement >2 km. Near-surface late-stage realgar-rich ore passes into As-pyrite ore to depth. Gold fineness is 894–964‰ (Gu and others, 2002).",52.8,China,CINA,yes,,0.5,"Western Qinling belt",4.4,100,0.14,yes,1978,yes,"Au, As, Sb, Hg, Tl","≤1 to 10",,"diabase porphyry",182,32.7663888888889,32,45,59,Accurate,103.556111111111,103,33,22,Dongbeizhai,,"Middle–Upper Triassic Xinduqiao Fm.",150,yes,"Central China Goldfields Plc. (?)",,,,,,9.5,1997,,,,,"Mao and others (2002); Peters and others (2002)",,Sichuan,"mining operations",,Chinese,"Qinling fold belt",9.5,yes,
6,,,,0,,,,,0,4.02,,,,,4.02,yes,"Au closely associated with silicified contact karst breccia (boudinaged ?), phyllonite, and gouge along sheared Permian-Triassic unconformity.",25,China,CINA,,Mesozoic,0.3,"Dian-Qian-Gui ‘Golden Triangle’",1.7,50,0.2,,1986,yes,"Au, As, Sb, Ba","10 to 100",yes,,,24.205,24,12,18,Approximate,105.684722222222,105,41,5,Gaolong,yes,"Middle Triassic Baifeng Fm.",700,yes,,,,,,,,,1990,6.22,,,"MMAJ (2007); Peters and others (2007)",1991,Guangxi,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",6.22,,yes
7,,,,0,"Sb-quartz vein",,,,0,3.5,,,,,3.5,yes,"Past producer. 6 orebodies delineated. Hu and others (2002) reported same gold tonnage 7 tonnes at a different grade of 5.3 g/t. Tonnage-grade of MMAJ (2007) is confirmed by Peters and others (2002). Antimony was mined from stibnite-quartz veins in 1912–1949 and during 1990s within separate site at the central part of the deposit area. The deposit is controlled by Devonian-Cambrian unconformity.",7,China,CINA,,Mesozoic,0.3,"Dian-Qian-Gui ‘Golden Triangle’",1.8,32,0.2,,,,"Au, As, Sb, Tl",≤3,yes,,,23.5980555555556,23,35,53,Accurate,105.609166666667,105,36,33,Gedang,yes,"Devonian Pojiao Fm.; unconformably overlies Upper Cambrian",100,,,,,,,,,,,2,,,"MMAJ (2007); Peters and others (2002)",,Yunnan,exploration,,Chinese,"South China craton, platform at rifted southern margin",2,,
8,,,,0,"sediment-hosted Au",,,,0,6.2,,,,,6.2,yes,"1996 resource of oxidized ore estimated 22 t Au at 6.2 g/t (Hu and others, 2002; Peters and others, 2007; Zaw and others, 2007). Possible bedding-plane thrust superposed on ore-hosting karst breccia along intra-Permian unconformity (Ashley and others 1991; Cunninham and others, 1988). Some part of the mineral assemblage (magnetite, pyrrhotite, molybdenite, biotite, garnet, hornblende) alludes to magmatic influence (Peters and others, 2002, 2007), indicating skarn formation. Orebodies are partially displaced by post-mineral high-angle faults (Zhang and others, 2003). Gold fineness 984‰ (Liu and Geng, 1985).",30.7,China,CINA,,Mesozoic,4,"Dian-Qian-Gui ‘Golden Triangle’",3,10,1.7,,,,"Au, As, Sb, Hg, Tl","0.5 to 3",,,,25.2694444444444,25,16,10,Approximate,105.265833333333,105,15,57,Getang,yes,"karst unconformity between Upper Permian Longtan Fm. and Lower Permian Makou Fm.",75,yes,,,,,,,,,"after 1996",4.95,,,"MMAJ (2007)",,Guizhou,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",4.95,,
9,,,,0,,,,,0,4.6,,,,,4.6,yes,"Mining focused on oxide ore. Four main mineralized zones are controlled by high-angle faults along Cambrian-Cretaceous contact. Silver content ranges from 5 to 45 g/t Ag, also Pb content is higher and Zn and As contents are lower than in other sediment-hosted gold deposits of South China (Peters and others, 2002).",10,China,CINA,,Mesozoic,2,"Dian-Qian-Gui ‘Golden Triangle’",3,,0.8,,,yes,"Au, Ag, Sb, Hg, Te, Tl, As","16 to 200",yes,,,22.6238888888889,22,37,26,Approximate,109.184444444444,109,11,4,Hengxian,yes,"Cretaceous Xinlong Fm.",260,yes,"Guangxi Taifu Gold and Minerals Development Ltd.",,,,,,,,,2.2,,,"MMAJ (2007); Peters and others (2007)",,Guangxi,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",2.2,,yes
10,,,,,"sediment-hosted Au",,,,,,,,,,,yes,"Gold grades range 4 to 5 g/t (Peters and others, 2002).",,China,CINA,,Jurassic,3.7,"Dian-Qian-Gui ‘Golden Triangle’",2.5,32,1.9,yes,,,,,yes,"diabase, gabbro",Triassic,23.7675,23,46,3,Approximate,105.995,105,59,42,Jinba,yes,Permian,0,,"state property, Gold Bureau of Funing County",,,,,,,,,,,,"no gold resource reported",,Yunnan,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",,,
11,,,,0,"sediment-hosted Au",4.42,1.5,5.1,2,3.63,,,2.9,6,4.5,,"2010 production tonnage OP:UG=3:1 (Marketwire, 2010). The deposit remains open at depth of 1000 m. It is typically fault-controlled and occurs in Middle Triassic turbidite sequence that unconformably overlies Late Paleozoic carbonate-clastic core of Laizhishan dome (25x12 km). Three main mineralized zones are located in junctions of NNW and NE high-angle strike-slip faults, steeply plunging eastward. Peters and others (2007) suggest sindeformational ore deposition in phyllonite (mylonite) and multiple-stage breccia of fault zones. 93% gold recovery indicates mainly gold extraction in metallurgical process.",141,China,CINA,yes,Mesozoic,0.26,"Dian-Qian-Gui ‘Golden Triangle’",1.1,30,0.3,,1986,yes,"Au, As, Sb, Hg, Tl","2 to 6",yes,,,25.1497222222222,25,8,59,Approximate,105.874722222222,105,52,29,Jinfeng,yes,"Middle Triassic",1000,yes,"Eldorado Gold Corp.",4,2007–2010,93,"2007, proven+ probable",5.8,11.5,"2007, proven+ probable","2010, measured+indicated+inferred",19.8,,,"Eldorado Gold (2011); SRK Consulting (2007)",2007,Guizhou,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",31.3,yes,yes
12,,,,0,"sediment-hosted Au",,,,,,,,1,5,5,yes,">10 orebodies. Size of gold particles in As-pyrite ranges 0.025–0.075 microns and 0.04–0.16 microns in microfractures and interstices (Zhang, 1997). Sb mineralization mainly associates with late N and NE-striking quartz veins. There are superimposed multistage shearing.",80,China,CINA,,Mesozoic,0.4,"Eastern Qinling belt",1.2,20,0.4,,1993,yes,"Au, As, Sb, Hg",≤1,yes,,,33.3338888888889,33,20,2,Approximate,109.495555555556,109,29,44,Jinlongshan,,"Upper Devonian Nahyangshan Fm. and Lower Carboniferous Yuanjiagou Fm.",0,yes,"Shaanxi Province Administration",,,,,,16,"2007, proven?",,,,,"Mineweb (2007), Peters and others (2002)",1999,Shaanxi,"mining operations",,Chinese,"Qinling fold belt",16,,yes
