recno,role,value
1,gangue,barite
1,gangue,calcite
1,gangue,dickite
1,gangue,fluorite
1,gangue,hydromica
1,gangue,sericite
1,gold,pyrite
1,gold,arsenopyrite
1,gold,sericite
1,gold,bitumen
1,ore,arsenopyrite
1,ore,chalcopyrite
1,ore,galena
1,ore,gold
1,ore,marcasite
1,ore,pyrite
1,ore,realgar
1,ore,sphalerite
1,ore,stibnite
2,gangue,quartz
2,gangue,"clay minerals"
2,gold,pyrite
2,gold,arsenopyrite
2,ore,arsenopyrite
2,ore,chalcopyrite
2,ore,gold
2,ore,pyrite
3,gangue,calcite
3,gangue,kaolinite
3,gangue,quartz
3,gangue,sericite
3,ore,arsenopyrite
3,ore,cinnabar
3,ore,gold
3,ore,orpiment
3,ore,pyrite
3,ore,stibnite
4,gangue,apatite
4,gangue,barite
4,gangue,calcite
4,gangue,dolomite
4,gangue,kaolinite
4,gangue,quartz
4,gold,hematite
4,ore,arsenopyrite
4,ore,chalcopyrite
4,ore,cinnabar
4,ore,electrum
4,ore,gold
4,ore,hematite
4,ore,lead
4,ore,magnetite
4,ore,orpiment
4,ore,pyrite
4,ore,realgar
4,ore,silver
4,ore,stibnite
4,ore,tennantite
5,gangue,albite
5,gangue,barite
5,gangue,calcite
5,gangue,dolomite
5,gangue,Fe-dolomite
5,gangue,graphite
5,gangue,kaolinite
5,gangue,montmorillonite
5,gangue,muscovite/sericite
5,gangue,quartz
5,gold,As-pyrite
5,gold,"clay minerals"
5,gold,pyrite
5,ore,arsenic
5,ore,arsenopyrite
5,ore,As-pyrite
5,ore,chalcopyrite
5,ore,cinnabar
5,ore,famatinite
5,ore,gold
5,ore,limonite
5,ore,marcasite
5,ore,orpiment
5,ore,pyrite
5,ore,pyrrhotite
5,ore,realgar
5,ore,scheelite
5,ore,sphalerite
5,ore,stibnite
5,ore,tetrahedrite
6,gangue,barite
6,gangue,chalcedony
6,gangue,illite
6,gangue,quartz
6,gangue,sericite
6,gold,As-pyrite
6,gold,Fe-oxide
6,ore,arsenic
6,ore,arsenopyrite
6,ore,As-pyrite
6,ore,chalcopyrite
6,ore,cinnabar
6,ore,galena
6,ore,gold
6,ore,limonite
6,ore,pyrite
6,ore,realgar
6,ore,sphalerite
7,gangue,ankerite
7,gangue,barite
7,gangue,calcite
7,gangue,chlorite
7,gangue,dolomite
7,gangue,fluorite
7,gangue,illite
7,gangue,melanterite
7,gangue,muscovite/sericite
7,gangue,quartz
7,gold,arsenopyrite
7,gold,As-pyrite
7,gold,pyrite
7,gold,sericite-illite
7,ore,arsenopyrite
7,ore,As-pyrite
7,ore,chalcopyrite
7,ore,gold
7,ore,hematite
7,ore,ilmenite
7,ore,limonite
7,ore,magnetite
7,ore,marcasite
7,ore,pyrite
7,ore,pyrrhotite
7,ore,sphalerite
7,ore,stibnite
8,gangue,apatite
8,gangue,barite
8,gangue,biotite
8,gangue,bitumen
8,gangue,calcite
8,gangue,chalcedony
8,gangue,chlorite
8,gangue,dickite
8,gangue,dolomite
8,gangue,epidote
8,gangue,fluorite
8,gangue,garnet
8,gangue,hornblende
8,gangue,hydromica
8,gangue,illite
8,gangue,jarosite
8,gangue,kaolinite
8,gangue,montmorillonite
8,gangue,muscovite
8,gangue,quartz
8,gangue,siderite
8,gangue,zircon
8,gold,Fe-oxide
8,gold,quartz
8,ore,arsenolite
8,ore,arsenopyrite
8,ore,chalcopyrite
8,ore,cinnabar
8,ore,copper
8,ore,covellite
8,ore,galena
8,ore,goethite
8,ore,gold
8,ore,iron
8,ore,limonite
8,ore,magnetite
8,ore,marcasite
8,ore,molybdenite
8,ore,orpiment
8,ore,pyrite
8,ore,pyrrhotite
8,ore,realgar
8,ore,rutile
8,ore,scorodite
8,ore,senarmontite
8,ore,sphalerite
8,ore,stibnite
8,ore,valentinite
8,ore,zinc
9,gangue,barite
9,gangue,calcite
9,gangue,jarosite
9,gangue,kaolinite
9,gangue,muscovite/sericite
9,gangue,quartz
9,gangue,
9,gold,jarosite
9,gold,pyrite
9,gold,quartz
9,ore,chalcopyrite
9,ore,galena
9,ore,gold
9,ore,leucoxene
9,ore,limonite
9,ore,molybdenite
9,ore,pyrite
9,ore,stibnite
10,gangue,calcite
10,gangue,montmorillonite
10,gangue,quartz
10,gangue,sericite
10,gold,"native Au"
10,ore,arsenopyrite
10,ore,gold
10,ore,limonite
10,ore,pyrite
11,gangue,anatase
11,gangue,ankerite
11,gangue,apatite
11,gangue,bitumen
11,gangue,calcite
11,gangue,chalcedony
11,gangue,dolomite
11,gangue,illite
11,gangue,kaolinite
11,gangue,muscovite/sericite
11,gangue,quartz
11,gangue,tourmaline
11,gold,As-pyrite
11,gold,hematite
11,gold,pyrite
11,gold,quartz
11,ore,arsenic
11,ore,arsenopyrite
11,ore,As-pyrite
11,ore,boulangerite
11,ore,cinnabar
11,ore,galena
11,ore,hematite
11,ore,limonite
11,ore,mercury
11,ore,orpiment
11,ore,pyrite
11,ore,realgar
11,ore,sphalerite
11,ore,stibnite
12,gangue,albite
12,gangue,ankerite
12,gangue,barite
12,gangue,calcite
12,gangue,chalcedony
