recno,role,value
2,other,Yangyou
2,other,Yangyou
2,other,Yangyou
2,other,Yangyou
2,other,Yangyou
2,other,Yangyou
4,include,Zhongqu
4,include,Zhongqu
4,include,Xingqu
4,include,Xingqu
4,include,Xiaruo
4,include,Zhongqu
4,include,Xiaruo
4,include,Xingqu
4,include,Xiaruo
4,include,Zhongqu
4,include,Xingqu
4,include,Zhongqu
4,include,Xiaruo
4,include,Xingqu
4,include,Xingqu
4,include,Xiaruo
4,include,Zhongqu
4,include,Xiaruo
7,other,Kuzhubao
7,other,Kuzhubao
7,other,Kuzhubao
7,other,Kuzhubao
7,other,Kuzhubao
7,other,Kuzhubao
9,other,Nanxiang
9,other,Nanxiang
9,other,Nanxiang
9,other,Nanxiang
9,other,Nanxiang
9,other,Nanxiang
11,other,Lannigou
11,other,Lannigou
11,other,Lannigou
11,other,Lannigou
11,other,Lannigou
11,other,Lannigou
12,other,Ding-Ma
12,other,Ding-Ma
12,other,Ding-Ma
12,other,Ding-Ma
12,other,Ding-Ma
12,other,Ding-Ma
21,other,Qiongmo
21,other,Qiongmo
21,other,Qiongmo
21,other,Qiongmo
21,other,Qiongmo
21,other,Qiongmo
29,other,Yinchang
29,other,Yinchang
29,other,Yinchang
29,other,Yinchang
29,other,Yinchang
29,other,Yinchang
32,other,Zeboshan
32,other,Zeboshan
32,other,Zeboshan
32,other,Zeboshan
32,other,Zeboshan
32,other,Zeboshan
33,other,Zhimudang
33,other,Zhimudang
33,other,Zhimudang
33,other,Zhimudang
33,other,Zhimudang
33,other,Zhimudang
35,other,"Zareh Shuran"
35,other,Zarshouran
35,other,"Zareh Shuran"
35,other,"Zareh Shuran"
35,other,Zarshouran
35,other,Zarshouran
35,other,"Zareh Shuran"
35,other,"Zareh Shuran"
35,other,Zarshouran
35,other,Zarshouran
35,other,"Zareh Shuran"
35,other,Zarshouran
37,other,Afgan-Kobeh
37,other,Afgan-Kobeh
37,other,Afgan-Kobeh
37,other,Afgan-Kobeh
37,other,Afgan-Kobeh
37,other,Afgan-Kobeh
40,include,"West Archimedes"
40,other,"Ruby Hill"
40,other,"Ruby Hill"
40,other,"Ruby Hill"
40,other,"Ruby Hill"
40,include,"East Archimedes"
40,other,"Ruby Hill"
40,include,"West Archimedes"
40,include,"West Archimedes"
