recno,seq,reference,onlink
1,2,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
1,1,"Cunningham, C.G., Ashley, R.P., Chou, I.-M., Huang, Z., Chaoyuan, W., and Wenkang, L., 1988, Newly discovered sedimentary rock-hosted disseminated gold deposits in the People’s Republic of China: Economic Geology, v. 83, p. 1462–1467.",
1,3,"Liu, D., and Geng, W., 1985, On the mineral association and mineralization conditions of Carlin-type gold deposits in China: Geochimica, v. 3, p. 277–282 (in Chinese with English abstract).",
1,4,"Liu, J., Ye, J., Ying, H., Liu, J., Zheng, M., and Gu, X., 2002, Sediment-hosted micro-disseminated gold mineralization constrained by basin paleo-topographic highs in the Youjiang basin, south China: Journal of Asian Earth Sciences, v. 20, p. 517–533.",
1,5,"Mao, S.H., 1991, Occurrence and distribution of invisible gold in a Carlin-type gold deposit in China: American Mineralogist, v. 76, p. 1964–1972.",
1,6,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
1,7,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
1,8,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
1,9,"Zaw, K., Peters, S.G., Cromie, P., Burrett, C., and Hou, Z., 2007, Nature, diversity of deposit types and metallogenic relations of south China: Ore Geology Reviews, v. 31, p. 3–47.",
2,1,"Cunningham, C.G., Ashley, R.P., Chou, I.-M., Huang, Z., Chaoyuan, W., and Wenkang, L., 1988, Newly discovered sedimentary rock-hosted disseminated gold deposits in the People’s Republic of China: Economic Geology, v. 83, p. 1462–1467.",
2,2,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
2,3,"Liu, J., Ye, J., Ying, H., Liu, J., Zheng, M., and Gu, X., 2002, Sediment-hosted micro-disseminated gold mineralization constrained by basin paleo-topographic highs in the Youjiang basin, south China: Journal of Asian Earth Sciences, v. 20, p. 517–533.",
2,4,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
2,5,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
3,1,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
3,2,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
4,2,"Mao, J., Goldfarb, R.J., Zhang, Z., Garwin, S., and Ren, F., 2002, Geology, distribution, and classification of gold deposits in the western Qinling belt, central China: Mineralium Deposita, v. 37, p. 352–377.",
